"name","rarity"
"Agent Select",2
"Arms Race",2
"B-Day",2
"Baby Cerberus",2
"Baby Fire Serpent",2
"Baby Howl",2
"Baby Lore",2
"Baby Medusa",2
"Beaky Decade",2
"Booth",2
"C-S On The Go",2
"Call Your Flashes",2
"Chicken Whisperer",2
"Choose Wisely",2
"Clicking Heads",2
"Co Co Co",2
"Cursed Penmanship",2
"Dragon's Keep",2
"Dragon Tale",2
"Dreams And Mimics",2
"Endless Cycle",2
"Exo Jumper",2
"Free Range",2
"GO",2
"Good Sports",2
"Good Versus Evil",2
"Green's Problem",2
"Laser Beam",2
"Monster",2
"Noble Steed",2
"Not For Resale",2
"Press Start",2
"Rush More",2
"Save Me",2
"Shifty Tactics",2
"This Is Fine (H)",2
"TV On Mirage",2
"Zeused",2
"Ace Clutch Co. (Holo)",3
"Blue Gem (Glitter)",3
"Cbbl (Holo)",3
"Conspiracy Club (Holo)",3
"Defuse It (Holo)",3
"Get Smoked (Holo)",3
"Go Boom (Glitter)",3
"Kawaii CT (Holo)",3
"Kawaii T (Holo)",3
"Leaving The Station (Holo)",3
"Pain Train (Holo)",3
"Vertigo's Hero (Holo)",3
"Zeusception (Holo)",3
"Approaching Site (Foil)",4
"Dust FA (Foil)",4
"In The Fire (Foil)",4
"Overpass Diorama (Foil)",4
"Pure Malt (Foil)",4
"Romanov's Fire (Foil)",4
"Showdown (Foil)",4
"Ten Years (Foil)",4
"DJ Safecracker (Lenticular)",5
"Freeze (Lenticular)",5
"Global TV (Lenticular)",5
"Magic Rush Ball (Lenticular)",5
"Skin Lover (Lenticular)",5
"TV Installation (Lenticular)",5
