"name","rarity"
"This item commemorates the 2020 CS:GO Regional Major Rankings.",6
"Astralis | 2020 RMR",2
"BIG | 2020 RMR",2
"Fnatic | 2020 RMR",2
"G2 | 2020 RMR",2
"OG | 2020 RMR",2
"GODSENT | 2020 RMR",2
"Nemiga | 2020 RMR",2
"Liquid | 2020 RMR",2
"Astralis (Holo) | 2020 RMR",3
"BIG (Holo) | 2020 RMR",3
"Fnatic (Holo) | 2020 RMR",3
"G2 (Holo) | 2020 RMR",3
"OG (Holo) | 2020 RMR",3
"GODSENT (Holo) | 2020 RMR",3
"Nemiga (Holo) | 2020 RMR",3
"Liquid (Holo) | 2020 RMR",3
"Astralis (Foil) | 2020 RMR",4
"BIG (Foil) | 2020 RMR",4
"Fnatic (Foil) | 2020 RMR",4
"G2 (Foil) | 2020 RMR",4
"OG (Foil) | 2020 RMR",4
"GODSENT (Foil) | 2020 RMR",4
"Nemiga (Foil) | 2020 RMR",4
"Liquid (Foil) | 2020 RMR",4
"Astralis (Gold) | 2020 RMR",5
"BIG (Gold) | 2020 RMR",5
"Fnatic (Gold) | 2020 RMR",5
"G2 (Gold) | 2020 RMR",5
"OG (Gold) | 2020 RMR",5
"GODSENT (Gold) | 2020 RMR",5
"Nemiga (Gold) | 2020 RMR",5
"Liquid (Gold) | 2020 RMR",5
