"name","rarity"
"This item commemorates the 2020 CS:GO Regional Major Rankings.",6
"FaZe | 2020 RMR",2
"North | 2020 RMR",2
"Virtus.pro | 2020 RMR",2
"ESPADA | 2020 RMR",2
"Gen.G | 2020 RMR",2
"Boom | 2020 RMR",2
"Renegades | 2020 RMR",2
"TYLOO | 2020 RMR",2
"FaZe (Holo) | 2020 RMR",3
"North (Holo) | 2020 RMR",3
"Virtus.pro (Holo) | 2020 RMR",3
"ESPADA (Holo) | 2020 RMR",3
"Gen.G (Holo) | 2020 RMR",3
"Boom (Holo) | 2020 RMR",3
"Renegades (Holo) | 2020 RMR",3
"TYLOO (Holo) | 2020 RMR",3
"FaZe (Foil) | 2020 RMR",4
"North (Foil) | 2020 RMR",4
"Virtus.pro (Foil) | 2020 RMR",4
"ESPADA (Foil) | 2020 RMR",4
"Gen.G (Foil) | 2020 RMR",4
"Boom (Foil) | 2020 RMR",4
"Renegades (Foil) | 2020 RMR",4
"TYLOO (Foil) | 2020 RMR",4
"FaZe (Gold) | 2020 RMR",5
"North (Gold) | 2020 RMR",5
"Virtus.pro (Gold) | 2020 RMR",5
"ESPADA (Gold) | 2020 RMR",5
"Gen.G (Gold) | 2020 RMR",5
"Boom (Gold) | 2020 RMR",5
"Renegades (Gold) | 2020 RMR",5
"TYLOO (Gold) | 2020 RMR",5
