"name","rarity"
"This item commemorates the 2020 CS:GO Regional Major Rankings.",6
"Vitality | 2020 RMR",2
"Heroic | 2020 RMR",2
"Ninjas in Pyjamas | 2020 RMR",2
"Spirit | 2020 RMR",2
"Natus Vincere | 2020 RMR",2
"Evil Geniuses | 2020 RMR",2
"100 Thieves | 2020 RMR",2
"FURIA | 2020 RMR",2
"Vitality (Holo) | 2020 RMR",3
"Heroic (Holo) | 2020 RMR",3
"Ninjas in Pyjamas (Holo) | 2020 RMR",3
"Spirit (Holo) | 2020 RMR",3
"Natus Vincere (Holo) | 2020 RMR",3
"Evil Geniuses (Holo) | 2020 RMR",3
"100 Thieves (Holo) | 2020 RMR",3
"FURIA (Holo) | 2020 RMR",3
"Vitality (Foil) | 2020 RMR",4
"Heroic (Foil) | 2020 RMR",4
"Ninjas in Pyjamas (Foil) | 2020 RMR",4
"Spirit (Foil) | 2020 RMR",4
"Natus Vincere (Foil) | 2020 RMR",4
"Evil Geniuses (Foil) | 2020 RMR",4
"100 Thieves (Foil) | 2020 RMR",4
"FURIA (Foil) | 2020 RMR",4
"Vitality (Gold) | 2020 RMR",5
"Heroic (Gold) | 2020 RMR",5
"Ninjas in Pyjamas (Gold) | 2020 RMR",5
"Spirit (Gold) | 2020 RMR",5
"Natus Vincere (Gold) | 2020 RMR",5
"Evil Geniuses (Gold) | 2020 RMR",5
"100 Thieves (Gold) | 2020 RMR",5
"FURIA (Gold) | 2020 RMR",5
