"name","rarity"
"This item commemorates the 2022 PGL Antwerp CS:GO Championship.",6
"Snappi (Marco Pfeiffer)",0
"Dycha (Paweł Dycha)",0
"Spinx (Lotan Giladi)",0
"hades (Aleksander Miskiewicz)",0
"maden (Pavle Bošković)",0
"Aleksib (Aleksi Virolainen)",0
"huNter- (Nemanja Kovac)",0
"JaCkz (Audric Jug)",0
"m0NESY (Ilia Osipov)",0
"NiKo (Nikola Kovač)",0
"Jerry (Andrey  Mekrhyakov)",0
"zorte (Aleksandr Zagodyrenko)",0
"KENSi (Aleksandr Gurkin)",0
"Norwi (Evgenii Ermolin)",0
"shalfey (Aleksandr Marenov)",0
"gla1ve (Lukas Rossander)",0
"blameF (Benjamin Vang Bremer)",0
"k0nfig (Kristian Wienecke)",0
"Xyp9x (Andreas Højsleth)",0
"Farlig (Asger Chen Jensen)",0
"apEX (Dan Madesclaire)",0
"misutaaa (Kévin Rabier)",0
"dupreeh (Peter Rasmussen)",0
"Magisk (Emil Hoffmann Reif)",0
"ZywOo (Mathieu Herbaut)",0
"WOOD7 (Adriano Cerato)",0
"chelo (Marcelo Cespedes)",0
"Tuurtle (Matheus Anhaia)",0
"exit (Raphael Lacerda)",0
"JOTA (Jhonatan Gaudencio)",0
"FalleN (Gabriel Toledo)",0
"fer (Fernando Alvarenga)",0
"fnx (Lincoln Lau)",0
"boltz (Ricardo Prass)",0
"VINI (Vinicius Figueiredo)",0
"rigoN (Rigon Gashi)",0
"juanflatroo (Flatron Halimi)",0
"SENER1 (Sener Mahmuti)",0
"sinnopsyy (Dionis Budeci)",0
"gxx- (Genc Kolgeci)",0
