"name","rarity"
"This item commemorates the 2017 ELEAGUE Atlanta CS:GO Championship.",6
"Team EnVyUs (Holo) | Atlanta 2017",3
"FaZe Clan (Holo) | Atlanta 2017",3
"G2 Esports (Holo) | Atlanta 2017",3
"GODSENT (Holo) | Atlanta 2017",3
"HellRaisers (Holo) | Atlanta 2017",3
"mousesports (Holo) | Atlanta 2017",3
"North (Holo) | Atlanta 2017",3
"OpTic Gaming (Holo) | Atlanta 2017",3
"ELEAGUE (Holo) | Atlanta 2017",3
"Team EnVyUs (Foil) | Atlanta 2017",4
"FaZe Clan (Foil) | Atlanta 2017",4
"G2 Esports (Foil) | Atlanta 2017",4
"GODSENT (Foil) | Atlanta 2017",4
"HellRaisers (Foil) | Atlanta 2017",4
"mousesports (Foil) | Atlanta 2017",4
"North (Foil) | Atlanta 2017",4
"OpTic Gaming (Foil) | Atlanta 2017",4
"ELEAGUE (Foil) | Atlanta 2017",4
