"name","rarity"
"This item commemorates the 2017 ELEAGUE Atlanta CS:GO Championship.",6
"Astralis (Holo) | Atlanta 2017",3
"Flipsid3 Tactics (Holo) | Atlanta 2017",3
"Fnatic (Holo) | Atlanta 2017",3
"Gambit Gaming (Holo) | Atlanta 2017",3
"Natus Vincere (Holo) | Atlanta 2017",3
"SK Gaming (Holo) | Atlanta 2017",3
"Team Liquid (Holo) | Atlanta 2017",3
"Virtus.Pro (Holo) | Atlanta 2017",3
"ELEAGUE (Holo) | Atlanta 2017",3
"Astralis (Foil) | Atlanta 2017",4
"Flipsid3 Tactics (Foil) | Atlanta 2017",4
"Fnatic (Foil) | Atlanta 2017",4
"Gambit Gaming (Foil) | Atlanta 2017",4
"Natus Vincere (Foil) | Atlanta 2017",4
"SK Gaming (Foil) | Atlanta 2017",4
"Team Liquid (Foil) | Atlanta 2017",4
"Virtus.Pro (Foil) | Atlanta 2017",4
"ELEAGUE (Foil) | Atlanta 2017",4
