"name","rarity"
"This item commemorates the 2017 ELEAGUE Atlanta CS:GO Championship.",6
"It was dropped during the Semifinal match between Fnatic and Astralis, and autographed by Markus Kjærbye who was the most valuable player in that round.",6
"PP-Bizon | Irradiated Alert",0
"MAG-7 | Irradiated Alert",0
"Sawed-Off | Irradiated Alert",0
"P90 | Fallout Warning",1
"UMP-45 | Fallout Warning",1
"XM1014 | Fallout Warning",1
"M4A4 | Radiation Hazard",2
"P250 | Nuclear Threat",3
"Tec-9 | Nuclear Threat",3
