"name","rarity"
"This item commemorates the BLAST.tv Austin 2025 CS2 Major Championship.",6
"It was dropped during the Stage I match between OG and Complexity Gaming.",6
"P90 | Ancient Earth",0
"SG 553 | Lush Ruins",0
"Nova | Army Sheen",0
"SSG 08 | Jungle Dashed",0
"R8 Revolver | Night",0
"P2000 | Panther Camo",1
"MP7 | Tall Grass",1
"G3SG1 | Ancient Ritual",1
"CZ75-Auto | Silver",1
"Tec-9 | Blast From the Past",2
"AUG | Carved Jade",2
"Galil AR | Dusk Ruins",2
"FAMAS | Dark Water",2
"XM1014 | Ancient Lore",3
"MAC-10 | Gold Brick",3
"USP-S | Ancient Visions",3
"P90 | Run and Hide",4
"AK-47 | Panthera onca",4
"M4A1-S | Welcome to the Jungle",5
