"name","rarity"
"This item commemorates the BLAST.tv Austin 2025 CS2 Major Championship.",6
"NiKo (Nikola Kovač)",0
"kyxsan (Damjan Stoilkovski)",0
"m0NESY (Ilia Osipov)",0
"TeSeS (René Stensig Madsen)",0
"Magisk (Emil Hoffmann Reif)",0
"karrigan (Finn Andersen)",0
"broky (Helvijs Saukants)",0
"EliGE (Jonathan Jablonowski)",0
"frozen (David Cernansky)",0
"rain (Håvard Nygaard)",0
"Maka (Bryan Canda)",0
"Ex3rcice (Pierre Bulinge)",0
"Lucky (Lucas Chastang)",0
"Graviti (Filip Brankovic)",0
"bodyy (Alexandre Pianaro)",0
"FL1T (Evgenii Lebedev)",0
"fame (Petr Bolyshev)",0
"electronic (Denis Sharipov)",0
"FL4MUS (Timur Marev)",0
"ICY (Kaisar Faiznurov)",0
"biguzera (Rodrigo Bittencourt)",0
"NQZ (Lucas Soares Assumpção E Silva)",0
"snow (João Vinicius Bueno Filho)",0
"dav1d (David Maldonado)",0
"dgt (Franco Cabrera)",0
"FalleN (Gabriel Toledo)",0
"yuurih (Yuri Boian)",0
"KSCERATO (Kaike Cerato)",0
"skullz (Felipe Frank Medeiros)",0
"molodoy (Golubenko Danil)",0
"exit (Raphael Lacerda)",0
"insani (Felipe Yuji Tasaka Kuratani)",0
"Lucaozy (Lucas Neves)",0
"brnz4n (Breno Poletto)",0
"saffee (Rafael Costa)",0
"reck (Ethan Serrano)",0
"Lake (Mason Sanderson)",0
"Swisher (Michael Schmid)",0
"slaxz- (Fritz Dietrich)",0
"s1n (Elias Stein)",0
