"name","rarity"
"This item commemorates the BLAST.tv Austin 2025 CS2 Major Championship.",6
"Cxzi (Danny Strzelczyk)",0
"Grim (Michael Wince)",0
"hallzerk (Haakon Fjaerli)",0
"JT (Ioannis Theodosiou)",0
"nicx (Nick Lee)",0
"stanislaw (Peter Jarguz)",0
"Sonic (Aran Groesbeek)",0
"phzy (Nils Love Smidebrant)",0
"susp (Tim Sebastian Ångström)",0
"JBa (Joshua John Barutt)",0
"tN1R (Andrei Tatarynovich)",0
"SunPayus (Alvaro Garcia)",0
"xfl0ud (Yasin Koc)",0
"LNZ (Linus Holtäng)",0
"yxngstxr (Simon Boije)",0
"headtr1ck (Daniil Valitov)",0
"kensizor (Artem Kapran)",0
"esenthial (Dmytro Tsvir)",0
"npl (Andrii Kukharskyi)",0
"alex666 (Alexey Yarmoshchuk)",0
"Chr1zN (Christoffer Storgaard)",0
"F1KU (Maciej Miklas)",0
"nicoodoz (Nico Tamjidi)",0
"spooke (Olle Grundström)",0
"Buzz (Christian Andersen)",0
"1eeR (Aliaksandr Nahorny)",0
"Xant3r (Kirill Kononov)",0
"khaN (Bexultan Ospan)",0
"riskyb0b (Maksim Churikov)",0
"zweih (Ivan Gogin)",0
"zorte (Aleksandr Zagodyrenko)",0
"S1ren (Pavel Ogloblin)",0
"Magnojez (Kirill Rodnov)",0
"Ax1Le (Sergei Rykhtorov)",0
"Boombl4 (Kirill Mikhailov)",0
"VINI (Vinicius Figueiredo)",0
"TRY (Santino Rigal)",0
"chayJESUS (Richard Seidy)",0
"decenty (Lucas Bacelar)",0
"noway (Kaiky Santos)",0
"oSee (Josh Ohm)",0
"HexT (Jadan Postma)",0
"br0 (Alexander Bro)",0
"nitr0 (Nicholas Cannella)",0
"jeorge (Jeorge Endicott)",0
"INS (Joshua Potter)",0
"Liazz (John Tregillgas)",0
"vexite (Declan Portelli)",0
"regali (Iulian Harjau)",0
"nettik (Corey Browne)",0
"hampus (Hampus Poser)",0
"isak (Isak Fahlén)",0
"Plopski (Nicolas Gonzalez Zamora)",0
"L00m1 (Lucas Haukland)",0
"adamb (Adam Ångström)",0
"JamYoung (Yi Yang)",0
"Moseyuh (Qianhao Chen)",0
"Attacker (Sheng Yuanzhang)",0
"Jee (Ji Dongkai)",0
"Mercury (Jingxiang Wang)",0
"arT (Andrei Piovezan)",0
"piriajr (Guilherme Barbosa)",0
"zevy (Romeu Rocco)",0
"kye (Kayke Bertolucci)",0
"mlhzin (Matheus Marçola)",0
"controlez (Unudelger Baasanjargal)",0
"efire (Tugs-erdene Erdenebold)",0
"ROUX (Undrakhbayar Zolbayar)",0
"Ariucle (Ariunjargal Yadam)",0
"cool4st (Sodbileg Batbaatar)",0
"westmelon (Niu Zhe)",0
"z4KR (Zhang Sike)",0
"Starry (Ye Lizhi)",0
"EmiliaQAQ (Tang Junjie)",0
"C4LLM3SU3 (Qihao Su)",0
"lux (Lucas Meneghini)",0
"saadzin (Guilherme Pacheco)",0
"latto (Bruno Rebelatto)",0
"dumau (Eduardo Wolkmer)",0
"n1ssim (Vinicius Pereira)",0
