"name","rarity"
"This item commemorates the BLAST.tv Austin 2025 CS2 Major Championship.",6
"Complexity Gaming | Austin 2025",0
"Wildcard | Austin 2025",0
"HEROIC | Austin 2025",0
"B8 | Austin 2025",0
"OG | Austin 2025",0
"Nemiga | Austin 2025",0
"BetBoom | Austin 2025",0
"Imperial Esports | Austin 2025",0
"NRG | Austin 2025",0
"FlyQuest | Austin 2025",0
"Metizport | Austin 2025",0
"TYLOO | Austin 2025",0
"Fluxo | Austin 2025",0
"Chinggis Warriors | Austin 2025",0
"Lynn Vision | Austin 2025",0
"Legacy | Austin 2025",0
"BLAST.tv | Austin 2025",0
