"name","rarity"
"This item commemorates the BLAST.tv Austin 2025 CS2 Major Championship.",6
"apEX (Dan Madesclaire)",0
"ZywOo (Mathieu Herbaut)",0
"FlameZ (Shahar Hai Shoshan)",0
"mezii (William Cameron Merriman)",0
"ropz (Robin Kool)",0
"torzsi (Ádám Torzsás)",0
"Jimpphat (Jimi Salo)",0
"Brollan (Ludvig Brolin)",0
"Spinx (Lotan Giladi)",0
"xertioN (Dorian Berman)",0
"chopper (Leonid Vishnyakov)",0
"magixx (Borislav Vorobev)",0
"donk (Danil Kryshkovets)",0
"sh1ro (Dmitrii Sokolov)",0
"zont1x (Myroslav Plakhotia)",0
"bLitz (Garidmagnai Byambasuren)",0
"Techno4K (Munkhbold Sodbayar)",0
"Senzu (Azbayar Munkhbold)",0
"910 (Usukhbayar Banzragch)",0
"mzinho (Ayush Batbold)",0
"MAJ3R (Engin Kupeli)",0
"XANTARES (Can Dortkardes)",0
"jottAAA (Samed Koklu)",0
"Wicadia (Ali Haydar Yalcin)",0
"woxic (Özgür Eker)",0
"w0nderful (Ihor Zhdanov)",0
"Aleksib (Aleksi Virolainen)",0
"jL (Justinas Lekavicius)",0
"b1t (Valerii Vakhovskyi)",0
"iM (Mihai Ivan)",0
"Snax (Janusz Pogorzelski)",0
"huNter- (Nemanja Kovac)",0
"malbsMd (Mario Alberto Samayoa Diaz)",0
"Heavygod (Nikita Martynenko)",0
"hades (Aleksander Miskiewicz)",0
"Twistzz (Russel Van Dulken)",0
"ultimate (Roland Tomkowiak)",0
"NertZ (Guy Iluz)",0
"siuhy (Kamil Szkaradek)",0
"NAF (Keith Markovic)",0
