"name","rarity"
"This item commemorates the BLAST.tv Austin 2025 CS2 Major Championship.",6
"It was dropped during the Stage III match between FURIA and Virtus.Pro.",6
"Galil AR | Green Apple",1
"P250 | Constructivist",1
"P90 | Straight Dimes",1
"CZ75-Auto | Copper Fiber",1
"AUG | Steel Sentinel",1
"Nova | Rain Station",1
"UMP-45 | Late Night Transit",2
"XM1014 | Run Run Run",2
"Glock-18 | Green Line",2
"FAMAS | 2A2F",2
"Tec-9 | Whiteout",3
"MAC-10 | Derailment",3
"Zeus x27 | Charged Up",3
"M4A4 | Hellish",4
"MP9 | Latte Rush",4
"AWP | LongDog",5
