"name","rarity"
"This item commemorates the 2017 ELEAGUE Atlanta CS:GO Championship.",6
"apEX (Foil) | Atlanta 2017",4
"Happy (Foil) | Atlanta 2017",4
"SIXER (Foil) | Atlanta 2017",4
"kennyS (Foil) | Atlanta 2017",4
"NBK- (Foil) | Atlanta 2017",4
"aizy (Foil) | Atlanta 2017",4
"allu (Foil) | Atlanta 2017",4
"kioShiMa (Foil) | Atlanta 2017",4
"rain (Foil) | Atlanta 2017",4
"karrigan (Foil) | Atlanta 2017",4
"bodyy (Foil) | Atlanta 2017",4
"RpK (Foil) | Atlanta 2017",4
"ScreaM (Foil) | Atlanta 2017",4
"shox (Foil) | Atlanta 2017",4
"SmithZz (Foil) | Atlanta 2017",4
"znajder (Foil) | Atlanta 2017",4
"Lekr0 (Foil) | Atlanta 2017",4
"pronax (Foil) | Atlanta 2017",4
"JW (Foil) | Atlanta 2017",4
"flusha (Foil) | Atlanta 2017",4
"STYKO (Foil) | Atlanta 2017",4
"Zero (Foil) | Atlanta 2017",4
"DeadFox (Foil) | Atlanta 2017",4
"bondik (Foil) | Atlanta 2017",4
"ANGE1 (Foil) | Atlanta 2017",4
"chrisJ (Foil) | Atlanta 2017",4
"denis (Foil) | Atlanta 2017",4
"Spiidi (Foil) | Atlanta 2017",4
"loWel (Foil) | Atlanta 2017",4
"NiKo (Foil) | Atlanta 2017",4
"cajunb (Foil) | Atlanta 2017",4
"MSL (Foil) | Atlanta 2017",4
"Magisk (Foil) | Atlanta 2017",4
"RUBINO (Foil) | Atlanta 2017",4
"k0nfig (Foil) | Atlanta 2017",4
"tarik (Foil) | Atlanta 2017",4
"mixwell (Foil) | Atlanta 2017",4
"NAF (Foil) | Atlanta 2017",4
"RUSH (Foil) | Atlanta 2017",4
"stanislaw (Foil) | Atlanta 2017",4
