"name","rarity"
"This item commemorates the 2015 DreamHack Cluj-Napoca CS:GO Championship.",6
"aizy (Foil) | Cluj-Napoca 2015",4
"Kjaerbye (Foil) | Cluj-Napoca 2015",4
"MSL (Foil) | Cluj-Napoca 2015",4
"Pimp (Foil) | Cluj-Napoca 2015",4
"tenzki (Foil) | Cluj-Napoca 2015",4
"reltuC (Foil) | Cluj-Napoca 2015",4
"FNS (Foil) | Cluj-Napoca 2015",4
"hazed (Foil) | Cluj-Napoca 2015",4
"jdm64 (Foil) | Cluj-Napoca 2015",4
"tarik (Foil) | Cluj-Napoca 2015",4
"Furlan (Foil) | Cluj-Napoca 2015",4
"GruBy (Foil) | Cluj-Napoca 2015",4
"Hyper (Foil) | Cluj-Napoca 2015",4
"peet (Foil) | Cluj-Napoca 2015",4
"rallen (Foil) | Cluj-Napoca 2015",4
"B1ad3 (Foil) | Cluj-Napoca 2015",4
"bondik (Foil) | Cluj-Napoca 2015",4
"DavCost (Foil) | Cluj-Napoca 2015",4
"markeloff (Foil) | Cluj-Napoca 2015",4
"WorldEdit (Foil) | Cluj-Napoca 2015",4
"adreN (Foil) | Cluj-Napoca 2015",4
"EliGE (Foil) | Cluj-Napoca 2015",4
"FugLy (Foil) | Cluj-Napoca 2015",4
"Hiko (Foil) | Cluj-Napoca 2015",4
"nitr0 (Foil) | Cluj-Napoca 2015",4
"chrisJ (Foil) | Cluj-Napoca 2015",4
"denis (Foil) | Cluj-Napoca 2015",4
"gob b (Foil) | Cluj-Napoca 2015",4
"nex (Foil) | Cluj-Napoca 2015",4
"NiKo (Foil) | Cluj-Napoca 2015",4
"freakazoid (Foil) | Cluj-Napoca 2015",4
"seang@res (Foil) | Cluj-Napoca 2015",4
"shroud (Foil) | Cluj-Napoca 2015",4
"Skadoodle (Foil) | Cluj-Napoca 2015",4
"n0thing (Foil) | Cluj-Napoca 2015",4
"Ex6TenZ (Foil) | Cluj-Napoca 2015",4
"RpK (Foil) | Cluj-Napoca 2015",4
"ScreaM (Foil) | Cluj-Napoca 2015",4
"shox (Foil) | Cluj-Napoca 2015",4
"SmithZz (Foil) | Cluj-Napoca 2015",4
