"name","rarity"
"This item commemorates the 2016 ESL One Cologne CS:GO Championship.",6
"daps (Foil) | Cologne 2016",4
"mixwell (Foil) | Cologne 2016",4
"NAF (Foil) | Cologne 2016",4
"RUSH (Foil) | Cologne 2016",4
"stanislaw (Foil) | Cologne 2016",4
"spaze (Foil) | Cologne 2016",4
"Dosia (Foil) | Cologne 2016",4
"hooch (Foil) | Cologne 2016",4
"mou (Foil) | Cologne 2016",4
"AdreN (Foil) | Cologne 2016",4
"B1ad3 (Foil) | Cologne 2016",4
"wayLander (Foil) | Cologne 2016",4
"Shara (Foil) | Cologne 2016",4
"markeloff (Foil) | Cologne 2016",4
"WorldEdit (Foil) | Cologne 2016",4
"chrisJ (Foil) | Cologne 2016",4
"denis (Foil) | Cologne 2016",4
"Spiidi (Foil) | Cologne 2016",4
"nex (Foil) | Cologne 2016",4
"NiKo (Foil) | Cologne 2016",4
"bodyy (Foil) | Cologne 2016",4
"RpK (Foil) | Cologne 2016",4
"ScreaM (Foil) | Cologne 2016",4
"shox (Foil) | Cologne 2016",4
"SmithZz (Foil) | Cologne 2016",4
"aizy (Foil) | Cologne 2016",4
"fox (Foil) | Cologne 2016",4
"kioShiMa (Foil) | Cologne 2016",4
"rain (Foil) | Cologne 2016",4
"jkaem (Foil) | Cologne 2016",4
"apEX (Foil) | Cologne 2016",4
"Happy (Foil) | Cologne 2016",4
"DEVIL (Foil) | Cologne 2016",4
"kennyS (Foil) | Cologne 2016",4
"NBK- (Foil) | Cologne 2016",4
"cajunb (Foil) | Cologne 2016",4
"MSL (Foil) | Cologne 2016",4
"TENZKI (Foil) | Cologne 2016",4
"RUBINO (Foil) | Cologne 2016",4
"k0nfig (Foil) | Cologne 2016",4
