"name","rarity"
"This item commemorates the 2016 MLG Columbus CS:GO Championship.",6
"jasonR (Foil) | MLG Columbus 2016",4
"arya (Foil) | MLG Columbus 2016",4
"Professor_Chaos (Foil) | MLG Columbus 2016",4
"DAVEY (Foil) | MLG Columbus 2016",4
"abE (Foil) | MLG Columbus 2016",4
"reltuC (Foil) | MLG Columbus 2016",4
"FugLy (Foil) | MLG Columbus 2016",4
"hazed (Foil) | MLG Columbus 2016",4
"jdm64 (Foil) | MLG Columbus 2016",4
"tarik (Foil) | MLG Columbus 2016",4
"wayLander (Foil) | MLG Columbus 2016",4
"Dosia (Foil) | MLG Columbus 2016",4
"hooch (Foil) | MLG Columbus 2016",4
"mou (Foil) | MLG Columbus 2016",4
"AdreN (Foil)  | MLG Columbus 2016",4
"B1ad3 (Foil) | MLG Columbus 2016",4
"bondik (Foil) | MLG Columbus 2016",4
"Shara (Foil) | MLG Columbus 2016",4
"markeloff (Foil) | MLG Columbus 2016",4
"WorldEdit (Foil) | MLG Columbus 2016",4
"adreN (Foil) | MLG Columbus 2016",4
"EliGE (Foil) | MLG Columbus 2016",4
"s1mple (Foil) | MLG Columbus 2016",4
"Hiko (Foil) | MLG Columbus 2016",4
"nitr0 (Foil) | MLG Columbus 2016",4
"chrisJ (Foil) | MLG Columbus 2016",4
"denis (Foil) | MLG Columbus 2016",4
"Spiidi (Foil) | MLG Columbus 2016",4
"nex (Foil) | MLG Columbus 2016",4
"NiKo (Foil) | MLG Columbus 2016",4
"freakazoid (Foil) | MLG Columbus 2016",4
"Stewie2K (Foil) | MLG Columbus 2016",4
"shroud (Foil) | MLG Columbus 2016",4
"Skadoodle (Foil) | MLG Columbus 2016",4
"n0thing (Foil) | MLG Columbus 2016",4
"Ex6TenZ (Foil) | MLG Columbus 2016",4
"RpK (Foil) | MLG Columbus 2016",4
"ScreaM (Foil) | MLG Columbus 2016",4
"shox (Foil) | MLG Columbus 2016",4
"SmithZz (Foil) | MLG Columbus 2016",4
