"name","rarity"
"This item commemorates the 2015 ESL One Cologne CS:GO Championship.",6
"Xizt (Foil) | Cologne 2015",4
"f0rest (Foil) | Cologne 2015",4
"GeT_RiGhT (Foil) | Cologne 2015",4
"friberg (Foil) | Cologne 2015",4
"allu (Foil) | Cologne 2015",4
"karrigan (Foil) | Cologne 2015",4
"device (Foil) | Cologne 2015",4
"dupreeh (Foil) | Cologne 2015",4
"Xyp9x (Foil) | Cologne 2015",4
"cajunb (Foil) | Cologne 2015",4
"AZR (Foil) | Cologne 2015",4
"Havoc (Foil) | Cologne 2015",4
"jks (Foil) | Cologne 2015",4
"SPUNJ (Foil) | Cologne 2015",4
"yam (Foil) | Cologne 2015",4
"hazed (Foil) | Cologne 2015",4
"FNS (Foil) | Cologne 2015",4
"jdm64 (Foil) | Cologne 2015",4
"reltuC (Foil) | Cologne 2015",4
"tarik (Foil) | Cologne 2015",4
