"name","rarity"
"This item commemorates the 2015 ESL One Cologne CS:GO Championship.",6
"FalleN (Foil) | Cologne 2015",4
"steel (Foil) | Cologne 2015",4
"fer (Foil) | Cologne 2015",4
"boltz (Foil) | Cologne 2015",4
"coldzera (Foil) | Cologne 2015",4
"kennyS (Foil) | Cologne 2015",4
"kioShiMa (Foil) | Cologne 2015",4
"Happy (Foil) | Cologne 2015",4
"apEX (Foil) | Cologne 2015",4
"NBK- (Foil) | Cologne 2015",4
"dennis (Foil) | Cologne 2015",4
"ScreaM (Foil) | Cologne 2015",4
"rain (Foil) | Cologne 2015",4
"Maikelele (Foil) | Cologne 2015",4
"fox (Foil) | Cologne 2015",4
"markeloff (Foil) | Cologne 2015",4
"B1ad3 (Foil) | Cologne 2015",4
"bondik (Foil) | Cologne 2015",4
"WorldEdit (Foil) | Cologne 2015",4
"DavCost (Foil) | Cologne 2015",4
