"name","rarity"
"This item commemorates the 2015 ESL One Cologne CS:GO Championship.",6
"pronax (Foil) | Cologne 2015",4
"flusha (Foil) | Cologne 2015",4
"JW (Foil) | Cologne 2015",4
"KRIMZ (Foil) | Cologne 2015",4
"olofmeister (Foil) | Cologne 2015",4
"GuardiaN (Foil) | Cologne 2015",4
"Zeus (Foil) | Cologne 2015",4
"seized (Foil) | Cologne 2015",4
"Edward (Foil) | Cologne 2015",4
"flamie (Foil) | Cologne 2015",4
"Maniac (Foil) | Cologne 2015",4
"Ex6TenZ (Foil) | Cologne 2015",4
"shox (Foil) | Cologne 2015",4
"SmithZz (Foil) | Cologne 2015",4
"RpK (Foil) | Cologne 2015",4
"rallen (Foil) | Cologne 2015",4
"Hyper (Foil) | Cologne 2015",4
"peet (Foil) | Cologne 2015",4
"Furlan (Foil) | Cologne 2015",4
"GruBy (Foil) | Cologne 2015",4
