"name","rarity"
"This item commemorates the 2015 ESL One Cologne CS:GO Championship.",6
"NEO (Foil) | Cologne 2015",4
"pashaBiceps (Foil) | Cologne 2015",4
"TaZ (Foil) | Cologne 2015",4
"Snax (Foil) | Cologne 2015",4
"byali (Foil) | Cologne 2015",4
"chrisJ (Foil) | Cologne 2015",4
"gob b (Foil) | Cologne 2015",4
"denis (Foil) | Cologne 2015",4
"nex (Foil) | Cologne 2015",4
"Spiidi (Foil) | Cologne 2015",4
"USTILO (Foil) | Cologne 2015",4
"Rickeh (Foil) | Cologne 2015",4
"emagine (Foil) | Cologne 2015",4
"SnypeR (Foil) | Cologne 2015",4
"James (Foil) | Cologne 2015",4
"n0thing (Foil) | Cologne 2015",4
"seang@res (Foil) | Cologne 2015",4
"shroud (Foil) | Cologne 2015",4
"freakazoid (Foil) | Cologne 2015",4
"Skadoodle (Foil) | Cologne 2015",4
