"name","rarity"
"This item commemorates the 2017 ELEAGUE Atlanta CS:GO Championship.",6
"gla1ve (Foil) | Atlanta 2017",4
"device (Foil) | Atlanta 2017",4
"dupreeh (Foil) | Atlanta 2017",4
"Kjaerbye (Foil) | Atlanta 2017",4
"Xyp9x (Foil) | Atlanta 2017",4
"B1ad3 (Foil) | Atlanta 2017",4
"wayLander (Foil) | Atlanta 2017",4
"electronic (Foil) | Atlanta 2017",4
"markeloff (Foil) | Atlanta 2017",4
"WorldEdit (Foil) | Atlanta 2017",4
"twist (Foil) | Atlanta 2017",4
"disco doplan (Foil) | Atlanta 2017",4
"KRIMZ (Foil) | Atlanta 2017",4
"olofmeister (Foil) | Atlanta 2017",4
"dennis (Foil) | Atlanta 2017",4
"Zeus (Foil) | Atlanta 2017",4
"Dosia (Foil) | Atlanta 2017",4
"Hobbit (Foil) | Atlanta 2017",4
"mou (Foil) | Atlanta 2017",4
"AdreN (Foil) | Atlanta 2017",4
"Edward (Foil) | Atlanta 2017",4
"flamie (Foil) | Atlanta 2017",4
"GuardiaN (Foil) | Atlanta 2017",4
"seized (Foil) | Atlanta 2017",4
"s1mple (Foil) | Atlanta 2017",4
"coldzera (Foil) | Atlanta 2017",4
"FalleN (Foil) | Atlanta 2017",4
"fer (Foil) | Atlanta 2017",4
"fox (Foil) | Atlanta 2017",4
"TACO (Foil) | Atlanta 2017",4
"jdm64 (Foil) | Atlanta 2017",4
"EliGE (Foil) | Atlanta 2017",4
"Pimp (Foil) | Atlanta 2017",4
"Hiko (Foil) | Atlanta 2017",4
"nitr0 (Foil) | Atlanta 2017",4
"byali (Foil) | Atlanta 2017",4
"NEO (Foil) | Atlanta 2017",4
"pashaBiceps (Foil) | Atlanta 2017",4
"Snax (Foil) | Atlanta 2017",4
"TaZ (Foil) | Atlanta 2017",4
