"name","rarity"
"This item commemorates the 2015 DreamHack Cluj-Napoca CS:GO Championship.",6
"allu (Foil) | Cluj-Napoca 2015",4
"f0rest (Foil) | Cluj-Napoca 2015",4
"friberg (Foil) | Cluj-Napoca 2015",4
"GeT_RiGhT (Foil) | Cluj-Napoca 2015",4
"Xizt (Foil) | Cluj-Napoca 2015",4
"Edward (Foil) | Cluj-Napoca 2015",4
"flamie (Foil) | Cluj-Napoca 2015",4
"GuardiaN (Foil) | Cluj-Napoca 2015",4
"seized (Foil) | Cluj-Napoca 2015",4
"Zeus (Foil) | Cluj-Napoca 2015",4
"byali (Foil) | Cluj-Napoca 2015",4
"NEO (Foil) | Cluj-Napoca 2015",4
"pashaBiceps (Foil) | Cluj-Napoca 2015",4
"Snax (Foil) | Cluj-Napoca 2015",4
"TaZ (Foil) | Cluj-Napoca 2015",4
"dennis (Foil) | Cluj-Napoca 2015",4
"fox (Foil) | Cluj-Napoca 2015",4
"Maikelele (Foil) | Cluj-Napoca 2015",4
"rain (Foil) | Cluj-Napoca 2015",4
"jkaem (Foil) | Cluj-Napoca 2015",4
"cajunb (Foil) | Cluj-Napoca 2015",4
"device (Foil) | Cluj-Napoca 2015",4
"dupreeh (Foil) | Cluj-Napoca 2015",4
"karrigan (Foil) | Cluj-Napoca 2015",4
"Xyp9x (Foil) | Cluj-Napoca 2015",4
"apEX (Foil) | Cluj-Napoca 2015",4
"Happy (Foil) | Cluj-Napoca 2015",4
"kioShiMa (Foil) | Cluj-Napoca 2015",4
"kennyS (Foil) | Cluj-Napoca 2015",4
"NBK- (Foil) | Cluj-Napoca 2015",4
"flusha (Foil) | Cluj-Napoca 2015",4
"JW (Foil) | Cluj-Napoca 2015",4
"KRIMZ (Foil) | Cluj-Napoca 2015",4
"olofmeister (Foil) | Cluj-Napoca 2015",4
"pronax (Foil) | Cluj-Napoca 2015",4
"boltz (Foil) | Cluj-Napoca 2015",4
"coldzera (Foil) | Cluj-Napoca 2015",4
"FalleN (Foil) | Cluj-Napoca 2015",4
"fer (Foil) | Cluj-Napoca 2015",4
"steel (Foil) | Cluj-Napoca 2015",4
