"name","rarity"
"This item commemorates the 2016 ESL One Cologne CS:GO Championship.",6
"pyth (Foil) | Cologne 2016",4
"f0rest (Foil) | Cologne 2016",4
"friberg (Foil) | Cologne 2016",4
"GeT_RiGhT (Foil) | Cologne 2016",4
"Xizt (Foil) | Cologne 2016",4
"reltuC (Foil) | Cologne 2016",4
"koosta (Foil) | Cologne 2016",4
"hazed (Foil) | Cologne 2016",4
"pita (Foil) | Cologne 2016",4
"tarik (Foil) | Cologne 2016",4
"jdm64 (Foil) | Cologne 2016",4
"EliGE (Foil) | Cologne 2016",4
"s1mple (Foil) | Cologne 2016",4
"Hiko (Foil) | Cologne 2016",4
"nitr0 (Foil) | Cologne 2016",4
"Edward (Foil) | Cologne 2016",4
"flamie (Foil) | Cologne 2016",4
"GuardiaN (Foil) | Cologne 2016",4
"seized (Foil) | Cologne 2016",4
"Zeus (Foil) | Cologne 2016",4
"byali (Foil) | Cologne 2016",4
"NEO (Foil) | Cologne 2016",4
"pashaBiceps (Foil) | Cologne 2016",4
"Snax (Foil) | Cologne 2016",4
"TaZ (Foil) | Cologne 2016",4
"coldzera (Foil) | Cologne 2016",4
"FalleN (Foil) | Cologne 2016",4
"fer (Foil) | Cologne 2016",4
"fnx (Foil) | Cologne 2016",4
"TACO (Foil) | Cologne 2016",4
"gla1ve (Foil) | Cologne 2016",4
"device (Foil) | Cologne 2016",4
"dupreeh (Foil) | Cologne 2016",4
"karrigan (Foil) | Cologne 2016",4
"Xyp9x (Foil) | Cologne 2016",4
"flusha (Foil) | Cologne 2016",4
"JW (Foil) | Cologne 2016",4
"KRIMZ (Foil) | Cologne 2016",4
"olofmeister (Foil) | Cologne 2016",4
"dennis (Foil) | Cologne 2016",4
