"name","rarity"
"This item commemorates the 2016 MLG Columbus CS:GO Championship.",6
"pyth (Foil) | MLG Columbus 2016",4
"f0rest (Foil) | MLG Columbus 2016",4
"friberg (Foil) | MLG Columbus 2016",4
"GeT_RiGhT (Foil) | MLG Columbus 2016",4
"Xizt (Foil) | MLG Columbus 2016",4
"Edward (Foil) | MLG Columbus 2016",4
"flamie (Foil) | MLG Columbus 2016",4
"GuardiaN (Foil) | MLG Columbus 2016",4
"seized (Foil) | MLG Columbus 2016",4
"Zeus (Foil) | MLG Columbus 2016",4
"byali (Foil) | MLG Columbus 2016",4
"NEO (Foil) | MLG Columbus 2016",4
"pashaBiceps (Foil) | MLG Columbus 2016",4
"Snax (Foil) | MLG Columbus 2016",4
"TaZ (Foil) | MLG Columbus 2016",4
"aizy (Foil) | MLG Columbus 2016",4
"fox (Foil) | MLG Columbus 2016",4
"Maikelele (Foil) | MLG Columbus 2016",4
"rain (Foil) | MLG Columbus 2016",4
"jkaem (Foil) | MLG Columbus 2016",4
"cajunb (Foil) | MLG Columbus 2016",4
"device (Foil) | MLG Columbus 2016",4
"dupreeh (Foil) | MLG Columbus 2016",4
"karrigan (Foil) | MLG Columbus 2016",4
"Xyp9x (Foil) | MLG Columbus 2016",4
"apEX (Foil) | MLG Columbus 2016",4
"Happy (Foil) | MLG Columbus 2016",4
"DEVIL (Foil) | MLG Columbus 2016",4
"kennyS (Foil) | MLG Columbus 2016",4
"NBK- (Foil) | MLG Columbus 2016",4
"flusha (Foil) | MLG Columbus 2016",4
"JW (Foil) | MLG Columbus 2016",4
"KRIMZ (Foil) | MLG Columbus 2016",4
"olofmeister (Foil) | MLG Columbus 2016",4
"dennis (Foil) | MLG Columbus 2016",4
"fnx (Foil) | MLG Columbus 2016",4
"coldzera (Foil) | MLG Columbus 2016",4
"FalleN (Foil) | MLG Columbus 2016",4
"fer (Foil) | MLG Columbus 2016",4
"TACO (Foil) | MLG Columbus 2016",4
