"name","rarity"
"This item commemorates the 2019 StarLadder Berlin CS:GO Championship.",6
"Astralis (Holo) | Berlin 2019",3
"ENCE (Holo) | Berlin 2019",3
"MIBR (Holo) | Berlin 2019",3
"Natus Vincere (Holo) | Berlin 2019",3
"Ninjas in Pyjamas (Holo) | Berlin 2019",3
"FaZe Clan (Holo) | Berlin 2019",3
"Team Liquid (Holo) | Berlin 2019",3
"Renegades (Holo) | Berlin 2019",3
"StarLadder (Holo) | Berlin 2019",3
"Astralis (Foil) | Berlin 2019",4
"ENCE (Foil) | Berlin 2019",4
"MIBR (Foil) | Berlin 2019",4
"Natus Vincere (Foil) | Berlin 2019",4
"Ninjas in Pyjamas (Foil) | Berlin 2019",4
"FaZe Clan (Foil) | Berlin 2019",4
"Team Liquid (Foil) | Berlin 2019",4
"Renegades (Foil) | Berlin 2019",4
"StarLadder (Foil) | Berlin 2019",4
