"name","rarity"
"This item commemorates the 2019 StarLadder Berlin CS:GO Championship.",6
"Magisk (Emil Hoffmann Reif)",0
"device (Nicolai Reedtz)",0
"Xyp9x (Andreas Højsleth)",0
"dupreeh (Peter Rasmussen)",0
"gla1ve (Lukas Rossander)",0
"allu (Aleksi Jalli)",0
"Aerial (Jani Jussila)",0
"xseveN (Sami Laasanen)",0
"Aleksib (Aleksi Virolainen)",0
"sergej (Jere Salo)",0
"FalleN (Gabriel Toledo)",0
"LUCAS1 (Lucas Teles Ferreira da Fonseca)",0
"fer (Fernando Alvarenga)",0
"TACO (Tacio Filho)",0
"coldzera (Marcelo David)",0
"Zeus (Danylo Teslenko)",0
"s1mple (Oleksandr Kostyliev)",0
"electronic (Denis Sharipov)",0
"flamie (Egor Vasilyev)",0
"Boombl4 (Kirill Mikhailov)",0
"f0rest (Patrik Lindberg)",0
"Lekr0 (Jonas Olofsson)",0
"GeT_RiGhT (Christopher Alesund)",0
"REZ (Fredrik Sterner)",0
"Golden (Maikil Selim)",0
"NEO (Filip Kubski)",0
"GuardiaN (Ladislav Kovács)",0
"olofmeister (Olof Kajbjer)",0
"rain (Håvard Nygaard)",0
"NiKo (Nikola Kovač)",0
"nitr0 (Nicholas Cannella)",0
"Stewie2K (Jacky Yip)",0
"NAF (Keith Markovic)",0
"Twistzz (Russel Van Dulken)",0
"EliGE (Jonathan Jablonowski)",0
"Gratisfaction (Sean Kaiwai)",0
"jks (Justin Savage)",0
"AZR (Aaron Ward)",0
"jkaem (Joakim Myrbostad)",0
"Liazz (John Tregillgas)",0
