"name","rarity"
"This item commemorates the 2019 StarLadder Berlin CS:GO Championship.",6
"Grayhound Gaming (Holo) | Berlin 2019",3
"mousesports (Holo) | Berlin 2019",3
"forZe eSports (Holo) | Berlin 2019",3
"NRG (Holo) | Berlin 2019",3
"Tyloo (Holo) | Berlin 2019",3
"FURIA (Holo) | Berlin 2019",3
"CR4ZY (Holo) | Berlin 2019",3
"Syman Gaming (Holo) | Berlin 2019",3
"North (Holo) | Berlin 2019",3
"DreamEaters (Holo) | Berlin 2019",3
"INTZ E-SPORTS CLUB (Holo) | Berlin 2019",3
"StarLadder (Holo) | Berlin 2019",3
"Grayhound Gaming (Foil) | Berlin 2019",4
"mousesports (Foil) | Berlin 2019",4
"forZe eSports (Foil) | Berlin 2019",4
"NRG (Foil) | Berlin 2019",4
"Tyloo (Foil) | Berlin 2019",4
"FURIA (Foil) | Berlin 2019",4
"CR4ZY (Foil) | Berlin 2019",4
"Syman Gaming (Foil) | Berlin 2019",4
"North (Foil) | Berlin 2019",4
"DreamEaters (Foil) | Berlin 2019",4
"INTZ E-SPORTS CLUB (Foil) | Berlin 2019",4
"StarLadder (Foil) | Berlin 2019",4
