"name","rarity"
"This item commemorates the 2019 StarLadder Berlin CS:GO Championship.",6
"Sico (Simon Williams)",0
"dexter (Christopher Nong)",0
"erkaSt (Erdenetsogt Gantulga)",0
"malta (Liam Schembri)",0
"DickStacy (Oliver Tierney)",0
"chrisJ (Chris de Jong)",0
"karrigan (Finn Andersen)",0
"ropz (Robin Kool)",0
"frozen (David Cernansky)",0
"woxic (Özgür Eker)",0
"FL1T (Evgenii Lebedev)",0
"Jerry (Andrey  Mekrhyakov)",0
"almazer (Almaz Asadullin)",0
"xsepower (Bogdan Chernikov)",0
"facecrack (Dmitriy Alekseev)",0
"tarik (Tarik Celik)",0
"stanislaw (Peter Jarguz)",0
"Brehze (Vincent Cayonte)",0
"Ethan (Ethan Arnold)",0
"CeRq (Tsvetelin Dimitrov)",0
"Summer (Cai Yulun)",0
"somebody (Haowen Xu)",0
"Attacker (Sheng Yuanzhang)",0
"BnTeT (Hansel Ferdinand)",0
"Freeman (Winghei Cheung)",0
"VINI (Vinicius Figueiredo)",0
"ableJ (Rinaldo  Moda Junior)",0
"arT (Andrei Piovezan)",0
"KSCERATO (Kaike Cerato)",0
"yuurih (Yuri Boian)",0
"nexa (Nemanja Isakovic)",0
"huNter- (Nemanja Kovac)",0
"ottoNd (Otto Sihvo)",0
"LETN1 (Nestor Tanic)",0
"EspiranTo (Rokas Milasauskas)",0
"t0rick (Maksim Zaikin)",0
"neaLaN (Sanzhar Iskhakov)",0
"Keoz (Nicolas Dgus)",0
"Ramz1kBO$$ (Ramazan Bashizov)",0
"Perfecto (Ilya Zalutskiy)",0
"gade (Nicklas Gade)",0
"Kjaerbye (Markus Kjærbye)",0
"JUGi (Jakob Hansen)",0
"aizy (Philip Aistrup Larsen)",0
"v4lde (Valdemar Bjørn Vangså)",0
"svyat (Sviatoslav Dovbakh)",0
"kinqie (Semyon Lisitsyn)",0
"Forester (Igor Bezotechesky)",0
"Krad (Vladislav Kravchenko)",0
"speed4k (Anton Titov)",0
"kNgV- (Vito Giuseppe Agostinelli)",0
"DeStiNy (Lucas Bullo De Lima)",0
"yel (Gustavo Knittel Moreira)",0
"chelo (Marcelo Cespedes)",0
"xand (Alexandre Zizi)",0
