"name","rarity"
"This item commemorates the 2019 StarLadder Berlin CS:GO Championship.",6
"compLexity Gaming (Holo) | Berlin 2019",3
"HellRaisers (Holo) | Berlin 2019",3
"Avangar (Holo) | Berlin 2019",3
"G2 Esports (Holo) | Berlin 2019",3
"Vitality (Holo) | Berlin 2019",3
"StarLadder (Holo) | Berlin 2019",3
"compLexity Gaming (Foil) | Berlin 2019",4
"HellRaisers (Foil) | Berlin 2019",4
"Avangar (Foil) | Berlin 2019",4
"G2 Esports (Foil) | Berlin 2019",4
"Vitality (Foil) | Berlin 2019",4
"StarLadder (Foil) | Berlin 2019",4
