"name","rarity"
"This item commemorates the 2019 StarLadder Berlin CS:GO Championship.",6
"Rickeh (Ricardo Mulholland)",0
"SicK (Hunter Mims)",0
"dephh (Rory Jackson)",0
"ShahZaM (Shahzeeb Khan)",0
"oBo (Owen Schlatter)",0
"DeadFox (Bence Borocz)",0
"loWel (Christian Garcia Antoran)",0
"ANGE1 (Kyrylo Karasov)",0
"ISSAA (Issa Murad)",0
"oskar (Tomas Stastny)",0
"AdreN (Dauren Kystaubayev)",0
"Jame (Ali Dzhami)",0
"qikert (Alexey Golubev)",0
"buster (Timur Tulepov)",0
"SANJI (Sanjar Kuliev)",0
"JaCkz (Audric Jug)",0
"shox (Richard Papillon)",0
"kennyS (Kenny Schrub)",0
"Lucky (Lucas Chastang)",0
"AmaNEk (Francois Delaunay)",0
"NBK- (Nathan Schmitt)",0
"apEX (Dan Madesclaire)",0
"ALEX (Alex Mcmeekin)",0
"RpK (Cédric Guipouy)",0
"ZywOo (Mathieu Herbaut)",0
