"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"Gambit Esports (Holo) | Boston 2018",3
"Astralis (Holo) | Boston 2018",3
"Virtus.Pro (Holo) | Boston 2018",3
"Fnatic (Holo) | Boston 2018",3
"SK Gaming (Holo) | Boston 2018",3
"BIG (Holo) | Boston 2018",3
"North (Holo) | Boston 2018",3
"ELEAGUE (Holo) | Boston 2018",3
"Gambit Esports (Foil) | Boston 2018",4
"Astralis (Foil) | Boston 2018",4
"Virtus.Pro (Foil) | Boston 2018",4
"Fnatic (Foil) | Boston 2018",4
"SK Gaming (Foil) | Boston 2018",4
"BIG (Foil) | Boston 2018",4
"North (Foil) | Boston 2018",4
"ELEAGUE (Foil) | Boston 2018",4
