"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"AdreN (Dauren Kystaubayev)",0
"Dosia (Mikhail Stoliarov)",0
"fitch (Bektiyar Bakhytov)",0
"Hobbit (Abay Khassenov)",0
"mou (Rustem Telepov)",0
"device (Nicolai Reedtz)",0
"dupreeh (Peter Rasmussen)",0
"gla1ve (Lukas Rossander)",0
"Kjaerbye (Markus Kjærbye)",0
"Xyp9x (Andreas Højsleth)",0
"byali (Pawel Bielinsky)",0
"NEO (Filip Kubski)",0
"pashaBiceps (Jarosław Jarząbkowski)",0
"Snax (Janusz Pogorzelski)",0
"TaZ (Wiktor Wojtas)",0
"flusha (Robin Rönnquist)",0
"Golden (Maikil Selim)",0
"JW (Jesper Wecksell)",0
"KRIMZ (Lars Freddy Johansson)",0
"Lekr0 (Jonas Olofsson)",0
"coldzera (Marcelo David)",0
"FalleN (Gabriel Toledo)",0
"felps (Joao Vasconcellos Cabral)",0
"fer (Fernando Alvarenga)",0
"TACO (Tacio Filho)",0
"gob b (Fatih Dayik)",0
"keev (Kevin Bartholomäus)",0
"LEGIJA (Nikola Ninic)",0
"nex (Johannes Maget)",0
"tabseN (Johannes Wodarz)",0
"aizy (Philip Aistrup Larsen)",0
"cajunb (René Borg)",0
"k0nfig (Kristian Wienecke)",0
"MSL (Mathias Sommer Lauridsen)",0
"v4lde (Valdemar Bjørn Vangså)",0
