"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"It was dropped during the Semifinal match between Cloud9 and SK Gaming, and autographed by Marcelo David who was the most valuable player in that round.",6
"P90 | Storm",0
"SCAR-20 | Storm",0
"Dual Berettas | Briar",0
"MAC-10 | Indigo",0
"UMP-45 | Indigo",0
"MAG-7 | Silver",1
"Nova | Green Apple",1
"Sawed-Off | Rust Coat",1
"USP-S | Royal Blue",1
"P2000 | Chainmail",2
"MP9 | Dark Age",2
"CZ75-Auto | Chalice",3
"Desert Eagle | Hand Cannon",3
"M4A1-S | Knight",4
"AWP | Dragon Lore",5
