"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"Space Soldiers (Holo) | Boston 2018",3
"Team Liquid (Holo) | Boston 2018",3
"Avangar (Holo) | Boston 2018",3
"Renegades (Holo) | Boston 2018",3
"Team EnVyUs (Holo) | Boston 2018",3
"Misfits Gaming (Holo) | Boston 2018",3
"Quantum Bellator Fire (Holo) | Boston 2018",3
"Flash Gaming (Holo) | Boston 2018",3
"ELEAGUE (Holo) | Boston 2018",3
"Space Soldiers (Foil) | Boston 2018",4
"Team Liquid (Foil) | Boston 2018",4
"Avangar (Foil) | Boston 2018",4
"Renegades (Foil) | Boston 2018",4
"Team EnVyUs (Foil) | Boston 2018",4
"Misfits Gaming (Foil) | Boston 2018",4
"Quantum Bellator Fire (Foil) | Boston 2018",4
"Flash Gaming (Foil) | Boston 2018",4
"ELEAGUE (Foil) | Boston 2018",4
