"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"Calyx (Bugra Arkın)",0
"MAJ3R (Engin Kupeli)",0
"ngiN (Engin Kor)",0
"paz (Ahmet Karahoca)",0
"XANTARES (Can Dortkardes)",0
"EliGE (Jonathan Jablonowski)",0
"jdm64 (Joshua Marzano)",0
"nitr0 (Nicholas Cannella)",0
"stanislaw (Peter Jarguz)",0
"Twistzz (Russel Van Dulken)",0
"buster (Timur Tulepov)",0
"dimasick (Dmitriy Matviyenko)",0
"Jame (Ali Dzhami)",0
"KrizzeN (Aidyn Turlybekov)",0
"qikert (Alexey Golubev)",0
"AZR (Aaron Ward)",0
"jks (Justin Savage)",0
"NAF (Keith Markovic)",0
"Nifty (Noah Francis)",0
"USTILO (Karlo Pivac)",0
"Happy (Vincent Cervoni)",0
"RpK (Cédric Guipouy)",0
"ScreaM (Adil Benrlitom)",0
"SIXER (Christophe Xia)",0
"xms (Alexandre Forté)",0
"AmaNEk (Francois Delaunay)",0
"devoduvek (David Dobrosavljevic)",0
"seang@res (Sean Gares)",0
"ShahZaM (Shahzeeb Khan)",0
"SicK (Hunter Mims)",0
"balblna (Grigorii Oleinik)",0
"Boombl4 (Kirill Mikhailov)",0
"jmqa (Savelii Bragin)",0
"Kvik (Aurimas Kvakšys)",0
"waterfaLLZ (Nikita Matveev)",0
"Attacker (Sheng Yuanzhang)",0
"Karsa (Su Qifang)",0
"Kaze (Khong Weng Keong)",0
"LoveYY (Bai Kunhua)",0
"Summer (Cai Yulun)",0
