"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"G2 Esports (Holo) | Boston 2018",3
"Cloud9 (Holo) | Boston 2018",3
"Flipsid3 Tactics (Holo) | Boston 2018",3
"Natus Vincere (Holo) | Boston 2018",3
"mousesports (Holo) | Boston 2018",3
"Sprout Esports (Holo) | Boston 2018",3
"FaZe Clan (Holo) | Boston 2018",3
"Vega Squadron (Holo) | Boston 2018",3
"ELEAGUE (Holo) | Boston 2018",3
"G2 Esports (Foil) | Boston 2018",4
"Cloud9 (Foil) | Boston 2018",4
"Flipsid3 Tactics (Foil) | Boston 2018",4
"Natus Vincere (Foil) | Boston 2018",4
"mousesports (Foil) | Boston 2018",4
"Sprout Esports (Foil) | Boston 2018",4
"FaZe Clan (Foil) | Boston 2018",4
"Vega Squadron (Foil) | Boston 2018",4
"ELEAGUE (Foil) | Boston 2018",4
