"name","rarity"
"This item commemorates the 2018 ELEAGUE Boston CS:GO Championship.",6
"apEX (Dan Madesclaire)",0
"bodyy (Alexandre Pianaro)",0
"kennyS (Kenny Schrub)",0
"NBK- (Nathan Schmitt)",0
"shox (Richard Papillon)",0
"autimatic (Timothy Ta)",0
"RUSH (William Wierzba)",0
"Skadoodle (Tyler Latham)",0
"Stewie2K (Jacky Yip)",0
"tarik (Tarik Celik)",0
"B1ad3 (Andrey Gorodenskiy)",0
"markeloff (Yegor Markelov)",0
"seized (Denis Kostin)",0
"wayLander (Jan Peter Rahkonen)",0
"WorldEdit (Georgy Yaskin)",0
"Edward (Ioann Sukhariev)",0
"electronic (Denis Sharipov)",0
"flamie (Egor Vasilyev)",0
"s1mple (Oleksandr Kostyliev)",0
"Zeus (Danylo Teslenko)",0
"chrisJ (Chris de Jong)",0
"oskar (Tomas Stastny)",0
"ropz (Robin Kool)",0
"STYKO (Martin Styk)",0
"suNny (Miikka Kemppi)",0
"denis (Denis Howell)",0
"innocent (Paweł Mocek)",0
"kRYSTAL (Kevin Amend)",0
"Spiidi (Timo Richter)",0
"zehN (Jesse Linjala)",0
"GuardiaN (Ladislav Kovács)",0
"karrigan (Finn Andersen)",0
"NiKo (Nikola Kovač)",0
"olofmeister (Olof Kajbjer)",0
"rain (Håvard Nygaard)",0
"chopper (Leonid Vishnyakov)",0
"hutji (Pavel Lashkov)",0
"jR (Dmytro Chervak)",0
"keshandr (Sergey Nikishin)",0
"mir (Nikolai Bitiukov)",0
