"name","rarity"
"This item commemorates the 2016 ESL One Cologne CS:GO Championship.",6
"OpTic Gaming (Holo) | Cologne 2016",3
"Gambit Gaming (Holo) | Cologne 2016",3
"Flipsid3 Tactics (Holo) | Cologne 2016",3
"mousesports (Holo) | Cologne 2016",3
"G2 Esports (Holo) | Cologne 2016",3
"FaZe Clan (Holo) | Cologne 2016",3
"Team EnVyUs (Holo) | Cologne 2016",3
"Team Dignitas (Holo) | Cologne 2016",3
"ESL (Holo) | Cologne 2016",3
"OpTic Gaming (Foil) | Cologne 2016",4
"Gambit Gaming (Foil) | Cologne 2016",4
"Flipsid3 Tactics (Foil) | Cologne 2016",4
"mousesports (Foil) | Cologne 2016",4
"G2 Esports (Foil) | Cologne 2016",4
"FaZe Clan (Foil) | Cologne 2016",4
"Team EnVyUs (Foil) | Cologne 2016",4
"Team Dignitas (Foil) | Cologne 2016",4
"ESL (Foil) | Cologne 2016",4
