"name","rarity"
"This item commemorates the 2016 ESL One Cologne CS:GO Championship.",6
"Ninjas in Pyjamas (Holo) | Cologne 2016",3
"Counter Logic Gaming (Holo) | Cologne 2016",3
"Team Liquid (Holo) | Cologne 2016",3
"Natus Vincere (Holo) | Cologne 2016",3
"Virtus.Pro (Holo) | Cologne 2016",3
"SK Gaming (Holo) | Cologne 2016",3
"Astralis (Holo) | Cologne 2016",3
"Fnatic (Holo) | Cologne 2016",3
"ESL (Holo) | Cologne 2016",3
"Ninjas in Pyjamas (Foil) | Cologne 2016",4
"Counter Logic Gaming (Foil) | Cologne 2016",4
"Team Liquid (Foil) | Cologne 2016",4
"Natus Vincere (Foil) | Cologne 2016",4
"Virtus.Pro (Foil) | Cologne 2016",4
"SK Gaming (Foil) | Cologne 2016",4
"Astralis (Foil) | Cologne 2016",4
"Fnatic (Foil) | Cologne 2016",4
"ESL (Foil) | Cologne 2016",4
