"name","rarity"
"This item commemorates the PGL Copenhagen 2024 CS2 Major Championship.",6
"Ax1Le (Sergei Rykhtorov)",0
"Boombl4 (Kirill Mikhailov)",0
"electronic (Denis Sharipov)",0
"Hobbit (Abay Khassenov)",0
"Perfecto (Ilya Zalutskiy)",0
"Goofy (Krzysztof Górski)",0
"Kylar (Kacper Walukiewicz)",0
"Dycha (Paweł Dycha)",0
"gla1ve (Lukas Rossander)",0
"hades (Aleksander Miskiewicz)",0
"arT (Andrei Piovezan)",0
"chelo (Marcelo Cespedes)",0
"FalleN (Gabriel Toledo)",0
"KSCERATO (Kaike Cerato)",0
"yuurih (Yuri Boian)",0
"kyxsan (Damjan Stoilkovski)",0
"NertZ (Guy Iluz)",0
"nicoodoz (Nico Tamjidi)",0
"sjuush (Rasmus Beck)",0
"TeSeS (René Stensig Madsen)",0
"Calyx (Bugra Arkın)",0
"MAJ3R (Engin Kupeli)",0
"Wicadia (Ali Haydar Yalcin)",0
"woxic (Özgür Eker)",0
"XANTARES (Can Dortkardes)",0
"nawwk (Tim Carl Jonasson)",0
"CacaNito (Aleksandar Kjulukoski)",0
"jkaem (Joakim Myrbostad)",0
"sense (Ådne Fredriksen)",0
"STYKO (Martin Styk)",0
"acoR (Frederik Gyldstrand)",0
"isak (Isak Fahlén)",0
"Keoz (Nicolas Dgus)",0
"Snax (Janusz Pogorzelski)",0
"volt (Sebastian Constantin Malos)",0
"arrozdoce (Rafael Wing)",0
"ewjerkz (Michel Magalhães)",0
"MUTiRiS (Christopher Fernandes)",0
"roman (Ricardo Oliveira)",0
"story (João Vieira)",0
