"name","rarity"
"This item commemorates the PGL Copenhagen 2024 CS2 Major Championship.",6
"biguzera (Rodrigo Bittencourt)",0
"kauez (Kaue Kaschuk)",0
"lux (Lucas Meneghini)",0
"n1ssim (Vinicius Pereira)",0
"NQZ (Lucas Soares Assumpção E Silva)",0
"decenty (Lucas Bacelar)",0
"felps (Joao Vasconcellos Cabral)",0
"HEN1 (Henrique Teles Ferreira da Fonseca)",0
"noway (Kaiky Santos)",0
"VINI (Vinicius Figueiredo)",0
"910 (Usukhbayar Banzragch)",0
"bLitz (Garidmagnai Byambasuren)",0
"mzinho (Ayush Batbold)",0
"Senzu (Azbayar Munkhbold)",0
"Techno4K (Munkhbold Sodbayar)",0
"Forester (Igor Bezotechesky)",0
"ICY (Kaisar Faiznurov)",0
"Krad (Vladislav Kravchenko)",0
"NickelBack (Aleksey Trofimov)",0
"TRAVIS (Aleksandr Timkiv)",0
"kraghen (Tobias Kragh Jensen)",0
"Nodios (Magnus Olsen)",0
"Patti (Patrick Larsen)",0
"Queenix (Jonas Dideriksen)",0
"salazar (Jason Salazar)",0
"adamS (Marian Adam)",0
"dav1g (David Granado Bermudo)",0
"JUST (Tiago Moura)",0
"mopoz (Alejandro Fernández-Quejo Cano)",0
"stadodo (Renato Gonçalves)",0
"b4rtiN (Bruno Câmara)",0
"coldzera (Marcelo David)",0
"dumau (Eduardo Wolkmer)",0
"latto (Bruno Rebelatto)",0
"NEKiZ (Gabriel Schenato)",0
"EmiliaQAQ (Tang Junjie)",0
"Jee (Ji Dongkai)",0
"Starry (Ye Lizhi)",0
"westmelon (Niu Zhe)",0
"z4KR (Zhang Sike)",0
