"name","rarity"
"This item commemorates the PGL Copenhagen 2024 CS2 Major Championship.",6
"jL (Justinas Lekavicius)",0
"Aleksib (Aleksi Virolainen)",0
"b1t (Valerii Vakhovskyi)",0
"iM (Mihai Ivan)",0
"w0nderful (Ihor Zhdanov)",0
"fame (Petr Bolyshev)",0
"FL1T (Evgenii Lebedev)",0
"Jame (Ali Dzhami)",0
"mir (Nikolai Bitiukov)",0
"n0rb3r7 (David Danielyan)",0
"HooXi (Rasmus Nielsen)",0
"huNter- (Nemanja Kovac)",0
"m0NESY (Ilia Osipov)",0
"nexa (Nemanja Isakovic)",0
"NiKo (Nikola Kovač)",0
"broky (Helvijs Saukants)",0
"frozen (David Cernansky)",0
"karrigan (Finn Andersen)",0
"rain (Håvard Nygaard)",0
"ropz (Robin Kool)",0
"chopper (Leonid Vishnyakov)",0
"donk (Danil Kryshkovets)",0
"magixx (Borislav Vorobev)",0
"sh1ro (Dmitrii Sokolov)",0
"zont1x (Myroslav Plakhotia)",0
"apEX (Dan Madesclaire)",0
"FlameZ (Shahar Hai Shoshan)",0
"mezii (William Cameron Merriman)",0
"Spinx (Lotan Giladi)",0
"ZywOo (Mathieu Herbaut)",0
"Brollan (Ludvig Brolin)",0
"Jimpphat (Jimi Salo)",0
"siuhy (Kamil Szkaradek)",0
"torzsi (Ádám Torzsás)",0
"xertioN (Dorian Berman)",0
"hallzerk (Haakon Fjaerli)",0
"EliGE (Jonathan Jablonowski)",0
"floppy (Ricky Kemery)",0
"Grim (Michael Wince)",0
"JT (Ioannis Theodosiou)",0
