"name","rarity"
"This item commemorates the PGL Copenhagen 2024 CS2 Major Championship.",6
"It was dropped during the Quarterfinal match between FaZe Clan and Team Spirit.",6
"MAC-10 | Strats",0
"FAMAS | Faulty Wiring",0
"XM1014 | Blue Tire",0
"CZ75-Auto | Framework",0
"Dual Berettas | Oil Change",0
"Glock-18 | Red Tire",1
"UMP-45 | Mechanism",1
"SSG 08 | Carbon Fiber",1
"PP-Bizon | Breaker Box",1
"AK-47 | Green Laminate",2
"P90 | Schematic",2
"Nova | Interlock",2
"Negev | Infrastructure",2
"Galil AR | CAUTION!",3
"MAG-7 | Prism Terrace",3
"P250 | Digital Architect",3
"Five-SeveN | Fall Hazard",4
"SG 553 | Hazard Pay",4
"M4A1-S | Imminent Danger",5
