"name","rarity"
"This item commemorates the The 2014 DreamHack CS:GO Championship.",6
"Fnatic (Holo) | DreamHack 2014",3
"Cloud9 (Holo) | DreamHack 2014",3
"Virtus.Pro (Holo) | DreamHack 2014",3
"Ninjas in Pyjamas (Holo) | DreamHack 2014",3
"Natus Vincere (Holo) | DreamHack 2014",3
"Team Dignitas (Holo) | DreamHack 2014",3
"Fnatic (Foil) | DreamHack 2014",4
"Cloud9 (Foil) | DreamHack 2014",4
"Virtus.Pro (Foil) | DreamHack 2014",4
"Ninjas in Pyjamas (Foil) | DreamHack 2014",4
"Natus Vincere (Foil) | DreamHack 2014",4
"Team Dignitas (Foil) | DreamHack 2014",4
"DreamHack Winter 2014 (Foil)",4
