"name","rarity"
"Five-SeveN | Scrawl",2
"MAC-10 | Ensnared",2
"MAG-7 | Foresight",2
"MP5-SD | Necro Jr.",2
"P2000 | Lifted Spirits",2
"SCAR-20 | Poultrygeist",2
"Sawed-Off | Spirit Board",2
"PP-Bizon | Space Cat",3
"G3SG1 | Dream Glade",3
"M4A1-S | Night Terror",3
"XM1014 | Zombie Offensive",3
"USP-S | Ticket to Hell",3
"Dual Berettas | Melondrama",4
"FAMAS | Rapid Eye Movement",4
"MP7 | Abyssal Apparition",4
"AK-47 | Nightwish",5
"MP9 | Starlight Protector",5
"or an Exceedingly Rare Special Item!",6
