"name","rarity"
"This item commemorates the The 2014 EMS One Katowice CS:GO Championship.",6
"3DMAX | Katowice 2014",2
"iBUYPOWER | Katowice 2014",2
"mousesports | Katowice 2014",2
"Clan-Mystik | Katowice 2014",2
"Natus Vincere | Katowice 2014",2
"Reason Gaming | Katowice 2014",2
"Virtus.Pro | Katowice 2014",2
"Vox Eminor | Katowice 2014",2
"3DMAX (Holo) | Katowice 2014",3
"iBUYPOWER (Holo) | Katowice 2014",3
"mousesports (Holo) | Katowice 2014",3
"Clan-Mystik (Holo) | Katowice 2014",3
"Natus Vincere (Holo) | Katowice 2014",3
"Reason Gaming (Holo) | Katowice 2014",3
"Virtus.Pro (Holo) | Katowice 2014",3
"Vox Eminor (Holo) | Katowice 2014",3
"ESL Wolf (Foil) | Katowice 2014",4
