"name","rarity"
"This item commemorates the The 2014 EMS One Katowice CS:GO Championship.",6
"compLexity Gaming | Katowice 2014",2
"Team Dignitas | Katowice 2014",2
"Fnatic | Katowice 2014",2
"HellRaisers | Katowice 2014",2
"Team LDLC.com | Katowice 2014",2
"LGB eSports | Katowice 2014",2
"Ninjas in Pyjamas | Katowice 2014",2
"Titan | Katowice 2014",2
"compLexity Gaming (Holo) | Katowice 2014",3
"Team Dignitas (Holo) | Katowice 2014",3
"Fnatic (Holo) | Katowice 2014",3
"HellRaisers (Holo) | Katowice 2014",3
"Team LDLC.com (Holo) | Katowice 2014",3
"LGB eSports (Holo) | Katowice 2014",3
"Ninjas in Pyjamas (Holo) | Katowice 2014",3
"Titan (Holo) | Katowice 2014",3
"ESL Skull (Foil) | Katowice 2014",4
