"name","rarity"
"This item commemorates the ESL One Cologne 2014 CS:GO Championship.",6
"Copenhagen Wolves | Cologne 2014",2
"dAT team | Cologne 2014",2
"Epsilon eSports | Cologne 2014",2
"iBUYPOWER | Cologne 2014",2
"London Conspiracy | Cologne 2014",2
"Natus Vincere | Cologne 2014",2
"Titan | Cologne 2014",2
"Vox Eminor | Cologne 2014",2
"MTS GameGod Wolf | Cologne 2014",2
"Copenhagen Wolves (Holo) | Cologne 2014",3
"dAT team (Holo) | Cologne 2014",3
"Epsilon eSports (Holo) | Cologne 2014",3
"iBUYPOWER (Holo) | Cologne 2014",3
"London Conspiracy (Holo) | Cologne 2014",3
"Natus Vincere (Holo) | Cologne 2014",3
"Titan (Holo) | Cologne 2014",3
"Vox Eminor (Holo) | Cologne 2014",3
"MTS GameGod Wolf (Holo) | Cologne 2014",3
"ESL One Cologne 2014 (Red)",4
