"name","rarity"
"This item commemorates the ESL One Cologne 2014 CS:GO Championship.",6
"Cloud9 | Cologne 2014",2
"Fnatic | Cologne 2014",2
"HellRaisers | Cologne 2014",2
"Ninjas in Pyjamas | Cologne 2014",2
"Team Dignitas | Cologne 2014",2
"Team LDLC.com | Cologne 2014",2
"Virtus.Pro | Cologne 2014",2
"Cloud9 (Holo) | Cologne 2014",3
"Fnatic (Holo) | Cologne 2014",3
"HellRaisers (Holo) | Cologne 2014",3
"Ninjas in Pyjamas (Holo) | Cologne 2014",3
"Team Dignitas (Holo) | Cologne 2014",3
"Team LDLC.com (Holo) | Cologne 2014",3
"Virtus.Pro (Holo) | Cologne 2014",3
"ESL One Cologne 2014 (Blue)",4
