"name","rarity"
"This item commemorates the 2015 ESL One Katowice CS:GO Championship.",6
"3DMAX (Holo) | Katowice 2015",3
"Cloud9 G2A (Holo) | Katowice 2015",3
"Counter Logic Gaming (Holo) | Katowice 2015",3
"Flipsid3 Tactics (Holo) | Katowice 2015",3
"Keyd Stars (Holo) | Katowice 2015",3
"LGB eSports (Holo) | Katowice 2015",3
"Titan (Holo) | Katowice 2015",3
"Vox Eminor (Holo) | Katowice 2015",3
"3DMAX (Foil) | Katowice 2015",4
"Cloud9 G2A (Foil) | Katowice 2015",4
"Counter Logic Gaming (Foil) | Katowice 2015",4
"Flipsid3 Tactics (Foil) | Katowice 2015",4
"Keyd Stars (Foil) | Katowice 2015",4
"LGB eSports (Foil) | Katowice 2015",4
"Titan (Foil) | Katowice 2015",4
"Vox Eminor (Foil) | Katowice 2015",4
"ESL One (Foil) | Katowice 2015",4
