"name","rarity"
"This item commemorates the 2015 ESL One Katowice CS:GO Championship.",6
"Fnatic (Holo) | Katowice 2015",3
"HellRaisers (Holo) | Katowice 2015",3
"Natus Vincere (Holo) | Katowice 2015",3
"Ninjas in Pyjamas (Holo) | Katowice 2015",3
"PENTA Sports (Holo) | Katowice 2015",3
"Team EnVyUs (Holo) | Katowice 2015",3
"TSM Kinguin (Holo) | Katowice 2015",3
"Virtus.pro (Holo) | Katowice 2015",3
"Fnatic (Foil) | Katowice 2015",4
"HellRaisers (Foil) | Katowice 2015",4
"Natus Vincere (Foil) | Katowice 2015",4
"Ninjas in Pyjamas (Foil) | Katowice 2015",4
"PENTA Sports (Foil) | Katowice 2015",4
"Team EnVyUs (Foil) | Katowice 2015",4
"TSM Kinguin (Foil) | Katowice 2015",4
"Virtus.pro (Foil) | Katowice 2015",4
"ESL One (Foil) | Katowice 2015",4
