"name","rarity"
"This item commemorates the 2015 ESL One Katowice CS:GO Championship.",6
"It was dropped during the Group Stage match between Virtus.Pro and 3DMAX.",6
"M249 | Contrast Spray",0
"MAG-7 | Storm",0
"MP9 | Storm",0
"Sawed-Off | Sage Spray",0
"UMP-45 | Scorched",0
"MP7 | Gunsmoke",1
"Desert Eagle | Urban DDPAT",1
"Glock-18 | Night",1
"P2000 | Grassland",1
"XM1014 | VariCamo Blue",2
"SSG 08 | Detour",2
"CZ75-Auto | Nitro",2
"AWP | Pink DDPAT",3
"USP-S | Road Rash",3
"M4A1-S | Master Piece",4
