"name","rarity"
"This item commemorates the 2019 IEM Katowice CS:GO Championship.",6
"Astralis (Holo) | Katowice 2019",3
"BIG (Holo) | Katowice 2019",3
"compLexity Gaming (Holo) | Katowice 2019",3
"FaZe Clan (Holo) | Katowice 2019",3
"HellRaisers (Holo) | Katowice 2019",3
"MIBR (Holo) | Katowice 2019",3
"Natus Vincere (Holo) | Katowice 2019",3
"Team Liquid (Holo) | Katowice 2019",3
"IEM (Holo) | Katowice 2019",3
"Astralis (Foil) | Katowice 2019",4
"BIG (Foil) | Katowice 2019",4
"compLexity Gaming (Foil) | Katowice 2019",4
"FaZe Clan (Foil) | Katowice 2019",4
"HellRaisers (Foil) | Katowice 2019",4
"MIBR (Foil) | Katowice 2019",4
"Natus Vincere (Foil) | Katowice 2019",4
"Team Liquid (Foil) | Katowice 2019",4
"IEM (Foil) | Katowice 2019",4
