"name","rarity"
"This item commemorates the 2019 IEM Katowice CS:GO Championship.",6
"Magisk (Emil Hoffmann Reif)",0
"device (Nicolai Reedtz)",0
"Xyp9x (Andreas Højsleth)",0
"dupreeh (Peter Rasmussen)",0
"gla1ve (Lukas Rossander)",0
"gob b (Fatih Dayik)",0
"tabseN (Johannes Wodarz)",0
"tiziaN (Tizian Feldbusch)",0
"XANTARES (Can Dortkardes)",0
"smooya (Owen Butterfield)",0
"n0thing (Jordan Gilbert)",0
"Rickeh (Ricardo Mulholland)",0
"stanislaw (Peter Jarguz)",0
"dephh (Rory Jackson)",0
"ShahZaM (Shahzeeb Khan)",0
"GuardiaN (Ladislav Kovács)",0
"olofmeister (Olof Kajbjer)",0
"rain (Håvard Nygaard)",0
"AdreN (Dauren Kystaubayev)",0
"NiKo (Nikola Kovač)",0
"DeadFox (Bence Borocz)",0
"ANGE1 (Kyrylo Karasov)",0
"Hobbit (Abay Khassenov)",0
"ISSAA (Issa Murad)",0
"woxic (Özgür Eker)",0
"FalleN (Gabriel Toledo)",0
"felps (Joao Vasconcellos Cabral)",0
"fer (Fernando Alvarenga)",0
"TACO (Tacio Filho)",0
"coldzera (Marcelo David)",0
"Edward (Ioann Sukhariev)",0
"Zeus (Danylo Teslenko)",0
"s1mple (Oleksandr Kostyliev)",0
"electronic (Denis Sharipov)",0
"flamie (Egor Vasilyev)",0
"nitr0 (Nicholas Cannella)",0
"Stewie2K (Jacky Yip)",0
"NAF (Keith Markovic)",0
"Twistzz (Russel Van Dulken)",0
"EliGE (Jonathan Jablonowski)",0
