"name","rarity"
"This item commemorates the 2019 IEM Katowice CS:GO Championship.",6
"Avangar (Holo) | Katowice 2019",3
"ENCE (Holo) | Katowice 2019",3
"FURIA (Holo) | Katowice 2019",3
"Grayhound Gaming (Holo) | Katowice 2019",3
"NRG (Holo) | Katowice 2019",3
"Renegades (Holo) | Katowice 2019",3
"Team Spirit (Holo) | Katowice 2019",3
"ViCi Gaming (Holo) | Katowice 2019",3
"Vitality (Holo) | Katowice 2019",3
"Winstrike Team (Holo) | Katowice 2019",3
"IEM (Holo) | Katowice 2019",3
"Avangar (Foil) | Katowice 2019",4
"ENCE (Foil) | Katowice 2019",4
"FURIA (Foil) | Katowice 2019",4
"Grayhound Gaming (Foil) | Katowice 2019",4
"NRG (Foil) | Katowice 2019",4
"Renegades (Foil) | Katowice 2019",4
"Team Spirit (Foil) | Katowice 2019",4
"ViCi Gaming (Foil) | Katowice 2019",4
"Vitality (Foil) | Katowice 2019",4
"Winstrike Team (Foil) | Katowice 2019",4
"IEM (Foil) | Katowice 2019",4
