"name","rarity"
"This item commemorates the 2019 IEM Katowice CS:GO Championship.",6
"fitch (Bektiyar Bakhytov)",0
"Jame (Ali Dzhami)",0
"KrizzeN (Aidyn Turlybekov)",0
"qikert (Alexey Golubev)",0
"buster (Timur Tulepov)",0
"allu (Aleksi Jalli)",0
"Aerial (Jani Jussila)",0
"xseveN (Sami Laasanen)",0
"Aleksib (Aleksi Virolainen)",0
"sergej (Jere Salo)",0
"VINI (Vinicius Figueiredo)",0
"ableJ (Rinaldo  Moda Junior)",0
"arT (Andrei Piovezan)",0
"KSCERATO (Kaike Cerato)",0
"yuurih (Yuri Boian)",0
"sterling (Euan Moore)",0
"dexter (Christopher Nong)",0
"erkaSt (Erdenetsogt Gantulga)",0
"malta (Liam Schembri)",0
"DickStacy (Oliver Tierney)",0
"daps (Damian Steele)",0
"Brehze (Vincent Cayonte)",0
"FugLy (Jacob Medina)",0
"Ethan (Ethan Arnold)",0
"CeRq (Tsvetelin Dimitrov)",0
"Gratisfaction (Sean Kaiwai)",0
"jks (Justin Savage)",0
"AZR (Aaron Ward)",0
"jkaem (Joakim Myrbostad)",0
"Liazz (John Tregillgas)",0
"DavCost (Vadim Vasilyev)",0
"COLDYY1 (Pavlo Veklenko)",0
"Dima (Dmitriy Bandurka)",0
"sdy (Viktor Orudzhev)",0
"S0tF1k (Dmitrii Forostianko)",0
"Kaze (Khong Weng Keong)",0
"advent (Zhuo Liang)",0
"aumaN (Zhihong Liu)",0
"zhokiNg (Weijie Zhong)",0
"Freeman (Winghei Cheung)",0
"NBK- (Nathan Schmitt)",0
"apEX (Dan Madesclaire)",0
"ALEX (Alex Mcmeekin)",0
"RpK (Cédric Guipouy)",0
"ZywOo (Mathieu Herbaut)",0
"WorldEdit (Georgy Yaskin)",0
"wayLander (Jan Peter Rahkonen)",0
"Kvik (Aurimas Kvakšys)",0
"Boombl4 (Kirill Mikhailov)",0
"n0rb3r7 (David Danielyan)",0
