"name","rarity"
"This item commemorates the 2019 IEM Katowice CS:GO Championship.",6
"Cloud9 (Holo) | Katowice 2019",3
"Fnatic (Holo) | Katowice 2019",3
"G2 Esports (Holo) | Katowice 2019",3
"Ninjas in Pyjamas (Holo) | Katowice 2019",3
"Tyloo (Holo) | Katowice 2019",3
"Vega Squadron (Holo) | Katowice 2019",3
"IEM (Holo) | Katowice 2019",3
"Cloud9 (Foil) | Katowice 2019",4
"Fnatic (Foil) | Katowice 2019",4
"G2 Esports (Foil) | Katowice 2019",4
"Ninjas in Pyjamas (Foil) | Katowice 2019",4
"Tyloo (Foil) | Katowice 2019",4
"Vega Squadron (Foil) | Katowice 2019",4
"IEM (Foil) | Katowice 2019",4
