"name","rarity"
"This item commemorates the 2019 IEM Katowice CS:GO Championship.",6
"flusha (Robin Rönnquist)",0
"kioShiMa (Fabien Fiey)",0
"RUSH (William Wierzba)",0
"autimatic (Timothy Ta)",0
"Golden (Maikil Selim)",0
"Twist (Simon Eliasson)",0
"Xizt (Richard Landström)",0
"JW (Jesper Wecksell)",0
"KRIMZ (Lars Freddy Johansson)",0
"Brollan (Ludvig Brolin)",0
"JaCkz (Audric Jug)",0
"shox (Richard Papillon)",0
"bodyy (Alexandre Pianaro)",0
"kennyS (Kenny Schrub)",0
"Lucky (Lucas Chastang)",0
"f0rest (Patrik Lindberg)",0
"Lekr0 (Jonas Olofsson)",0
"GeT_RiGhT (Christopher Alesund)",0
"REZ (Fredrik Sterner)",0
"dennis (Dennis Edman)",0
"Summer (Cai Yulun)",0
"somebody (Haowen Xu)",0
"Attacker (Sheng Yuanzhang)",0
"BnTeT (Hansel Ferdinand)",0
"xccurate (Kevin  Susanto)",0
"tonyblack (Anton Kolesnikov)",0
"crush (Ihor Shevchenko)",0
"jR (Dmytro Chervak)",0
"hutji (Pavel Lashkov)",0
"chopper (Leonid Vishnyakov)",0
