"name","rarity"
"This item commemorates the 2017 PGL Krakow CS:GO Championship.",6
"mousesports (Holo) | Krakow 2017",3
"G2 Esports (Holo) | Krakow 2017",3
"BIG (Holo) | Krakow 2017",3
"Cloud9 (Holo) | Krakow 2017",3
"PENTA Sports (Holo) | Krakow 2017",3
"Flipsid3 Tactics (Holo) | Krakow 2017",3
"Immortals (Holo) | Krakow 2017",3
"Vega Squadron (Holo) | Krakow 2017",3
"PGL (Holo) | Krakow 2017",3
"mousesports (Foil) | Krakow 2017",4
"G2 Esports (Foil) | Krakow 2017",4
"BIG (Foil) | Krakow 2017",4
"Cloud9 (Foil) | Krakow 2017",4
"PENTA Sports (Foil) | Krakow 2017",4
"Flipsid3 Tactics (Foil) | Krakow 2017",4
"Immortals (Foil) | Krakow 2017",4
"Vega Squadron (Foil) | Krakow 2017",4
"PGL (Foil) | Krakow 2017",4
