"name","rarity"
"This item commemorates the 2017 PGL Krakow CS:GO Championship.",6
"Astralis (Holo) | Krakow 2017",3
"Virtus.Pro (Holo) | Krakow 2017",3
"Fnatic (Holo) | Krakow 2017",3
"SK Gaming (Holo) | Krakow 2017",3
"Natus Vincere (Holo) | Krakow 2017",3
"Gambit (Holo) | Krakow 2017",3
"North (Holo) | Krakow 2017",3
"FaZe Clan (Holo) | Krakow 2017",3
"PGL (Holo) | Krakow 2017",3
"Astralis (Foil) | Krakow 2017",4
"Virtus.Pro (Foil) | Krakow 2017",4
"Fnatic (Foil) | Krakow 2017",4
"SK Gaming (Foil) | Krakow 2017",4
"Natus Vincere (Foil) | Krakow 2017",4
"Gambit (Foil) | Krakow 2017",4
"North (Foil) | Krakow 2017",4
"FaZe Clan (Foil) | Krakow 2017",4
"PGL (Foil) | Krakow 2017",4
