"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"It was dropped during the Group Stage match between G2 Esports and Cloud9, and autographed by Edouard Dubourdeaux who was the most valuable player in that round.",6
"UMP-45 | Mudder",0
"MP5-SD | Dirt Drop",0
"MP9 | Slide",0
"AUG | Sweeper",0
"MAG-7 | Rust Coat",0
"PP-Bizon | Candy Apple",1
"MAC-10 | Calf Skin",1
"R8 Revolver | Nitro",1
"Glock-18 | High Beam",1
"SSG 08 | Hand Brake",2
"M4A4 | Converter",2
"USP-S | Check Engine",2
"Sawed-Off | Brake Light",2
"P250 | Vino Primo",3
"MP7 | Fade",3
"AK-47 | Safety Net",3
"Dual Berettas | Twin Turbo",4
"SG 553 | Integrale",4
