"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"Cloud9 (Holo) | London 2018",3
"FaZe Clan (Holo) | London 2018",3
"Natus Vincere (Holo) | London 2018",3
"MIBR (Holo) | London 2018",3
"mousesports (Holo) | London 2018",3
"Winstrike Team (Holo) | London 2018",3
"G2 Esports (Holo) | London 2018",3
"Fnatic (Holo) | London 2018",3
"FACEIT (Holo) | London 2018",3
"Cloud9 (Foil) | London 2018",4
"FaZe Clan (Foil) | London 2018",4
"Natus Vincere (Foil) | London 2018",4
"MIBR (Foil) | London 2018",4
"mousesports (Foil) | London 2018",4
"Winstrike Team (Foil) | London 2018",4
"G2 Esports (Foil) | London 2018",4
"Fnatic (Foil) | London 2018",4
"FACEIT (Foil) | London 2018",4
